五[五],wu3,"NUM. five; 5  N. , mus. no. 6 in gōngchěpǔ"
块[塊],kuai4,"M. 1 piece; lump; chunk 2 Ch. “dollar”  B.F. piece  N. , comp. block"
多少[多少],duo1shao3,N. number; amount  ADV. somewhat; to some extent
钱[錢],qian2,N. 1 copper coin 2 cash; money; fund; sum 3 Surname  M. five grams (1/10th of a tael)
六[六],liu4,NUM. six; 6
七[七],qi1,NUM. seven; 7  B.F. each of seven seventh-day memorials after a death  CONS. ∼ A bā B topsy-turvy AB
八[八],ba1,NUM. eight; 8
九[九],jiu3,NUM. nine; 9  B.F. many; numerous
十[十],shi2,NUM. ten; 10  B.F. complete
个[個],ge4,PREF. individual  M. (reading/citation pronunciation for ge)
瓶[瓶],ping2,B.F. bottle; vase; flask  M. (for bottles/etc.)
杯[杯],bei1,M. glass/cupful  B.F. 1 cup; glass 2 (prize) cup; trophy
百[百],bai3,NUM. 1 hundred; 100 2 numerous; all kinds of
// HelloChinese/Family 1,,
的[的],de5,"S.P. 1 (of subordination) 2 (noun-forming, like English -er)  CONS. (shì) A ∼ action emphasizing A  CONS. 1 coll. by 2 topo. plus"
爸爸[爸爸],ba4ba5,N. papa; dad; father
妈妈[媽媽],ma1ma5,"N. , coll. mama; mother"
爷爷[爺爺],ye2ye5,N. 1 (paternal) grandfather 2 court. Grandpa 3 father
奶奶[奶奶],nai3nai5,N. 1 coll. paternal grandmother 2 court. address for married woman M: ge / míng / ²wèi / 个 / 名 / 位
哥哥[哥哥],ge1ge5,N. elder brother M: ge / ²wèi / 个 / 位
姐姐[姐姐],jie3jie5,N. elder sister
弟弟[弟弟],di4di5,N. younger brother
妹妹[妹妹],mei4mei5,N. younger sister
有[有],you3,V. 1 have; possess 2 be; exist  CONS. 1 ∼ A ∼ B both A and B 2 ∼ A wú B have A but not B 3 ∼ N kě V there is N which (one) can/may V  PREF. (before names of dynasties) wr.
没有[沒有],mei2you3,V. not have; there is not; be without  ADV. less than; not more than
几[幾],ji3,NUM. 1 how many? 2 a few; several; some
口[口],kou3,"N. 1 mouth 2 opening; entrance 3 Great Wall gateway 4 hole; cut 5 knife edge 6 age of draft animal  M. (for mouthfuls/people/wells/etc.)  ATTR. , lg. oral; buccal"
家[家],jia1,N. 1 family; household; home 2 Surname  SUF. 1 -ist/-er/-ian/etc. 2 school of thought 3 (forming reflexive pronouns)  M. (for families/businesses)  B.F. 1 my (referring to family members older than oneself) 2 belonging to a family
这[這],zhe4,PR. this  ADV. now
那[那],na4,PR. that  CONJ. then; in that case
猫[貓],mao1,"N. cat M: ²zhī / 只  V. , topo. hide away"
狗[狗],gou3,N. dog M: tiáo / 条  B.F. damned; cursed
// HelloChinese/Dates,,
今天[今天],jin1tian1,N. 1 today 2 the present; now
星期一[星期一],Xing1qi1yi1,N. Monday
星期二[星期二],Xing1qi1er4,N. Tuesday
星期三[星期三],Xing1qi1san1,N. Wednesday
星期四[星期四],Xing1qi1si4,N. Thursday
星期五[星期五],Xing1qi1wu3,N. Friday
星期六[星期六],Xing1qi1liu4,N. Saturday
星期天[星期天],Xing1qi1tian1,N. Sunday
昨天[昨天],zuo2tian1,N. yesterday
星期几[星期幾],xing1qi1ji3,PR. which day of the week?
月[月],yue4,N. month  B.F. 1 moon 2 monthly
号[號],hao4,SUF. 1 number in a series 2 date  B.F. 1 size 2 arrange in a series 3 shop; firm; business 4 mark 5 name; appellation  N. 1 assumed name; sobriquet 2 brass wind instrument  V. 1 make a mark 2 feel the pulse  M. (for number of people)
年[年],nian2,M. year  B.F. 1 age 2 New Year 3 a period in one's life 4 a period in history 5 harvest  N. 1 age 2 Surname
生日[生日],sheng1ri5,N. birthday
零[零],ling2,NUM. 1 zero 2 naught; nil  B.F. 1 odd; a little extra 2 fractional; part 3 small change 4 (mechanical) part 5 wither and fall
// HelloChinese/Locations,,
去[去],qu4,"V. 1 go; go to; leave; depart 2 get rid of; remove; cast out 3 dispatch 4 be apart 5 (opera) play the role of  CONS. in order to  SUF. away  B.F. 1 past; last 2 “going” tone; Mandarin fourth tone  ADV. , topo. extremely; really; quite"
饭馆[飯館],fan4guan3,P.W. restaurant M: jiā / 家
学校[學校],xue2xiao4,P.W. school; educational institution M: jiā / suǒ / ge / 家 / 所 / 个
超市[超市],chao1shi4,AB. chāojí shìchǎng supermarket M: jiā / 家
公司[公司],gong1si1,P.W. company; corporation M: ge / jiā / 个 / 家
哪里[哪裡],na3li5,P.W. 1 where? 2 how could it be possible? 3 wherever; where  F.E. polite rejection of compliment
在[在],zai4,V. 1 be at/in/on 2 exist; live 3 depend on; rest with  ADV. (indicating an action in progress)  COV. in; at; on; etc.  CONS. 1 ∼ A (zhī)zhōng in (the midst/process of) A 2 ∼ A kàn(lai) as A sees it; in A's opinion
商店[商店],shang1dian4,P.W. shop; store M: jiā / 家
机场[機場],ji1chang3,P.W. airport; airfield M: ge / ⁴zuò / 个 / 座
医院[醫院],yi1yuan4,P.W. hospital M: jiā / 家
前边[前邊],qian2bian5,P.W. front; in front; ahead; above; preceding; forepart
后边[後邊],hou4bian5,P.W. rear; back; behind
公园[公園],gong1yuan2,P.W. 1 park 2 garden M: ge / ⁴zuò / 个 / 座
